WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES,Test Column
4708,47,08,JUNE,6,"17,18",4708
4708,47,08,AUGUST,8,"14,15",4708
4708,47,08,OCTOBER,10,"10,11",4708
4709,47,09,APRIL,4,"23,24",4709
4709,47,09,JUNE,6,"20,21",4709
4709,47,09,AUGUST,8,"16,19",4709
4709,47,09,OCTOBER,10,"15,16",4709
4710,47,10,APRIL,4,"25,26",4710
4710,47,10,JUNE,6,"24,25",4710
4710,47,10,AUGUST,8,"20,21",4710
4710,47,10,OCTOBER,10,"17,18",4710
4711,47,11,APRIL,4,"29,30",4711
4711,47,11,AUGUST,8,"22,23",4711
4711,47,11,OCTOBER,10,"21,22",4711
4712,47,12,MAY,5,"1,2",4712
4712,47,12,JUNE,6,28,4712
4712,47,12,JULY,7,1,4712
4712,47,12,OCTOBER,10,"23,24",4712
4713,47,13,MAY,5,"3,6",4713
4713,47,13,JULY,7,"2,3",4713
4713,47,13,AUGUST,8,"28,29",4713
4713,47,13,OCTOBER,10,"25,28",4713
4714,47,14,MAY,5,"7,8",4714
4714,47,14,JULY,7,"5,8",4714
4714,47,14,AUGUST,8,30,4714
4714,47,14,SEPTEMBER,9,3,4714
4714,47,14,OCTOBER,10,"29,30",4714
4715,47,15,MAY,5,"9,10",4715
4715,47,15,JULY,7,"9,10",4715
4715,47,15,SEPTEMBER,9,"4,5",4715
4715,47,15,OCTOBER,10,31,4715
4715,47,15,NOVEMBER,11,1,4715
4716,47,16,MAY,5,"13,14",4716
4716,47,16,JULY,7,"11,12",4716
4716,47,16,SEPTEMBER,9,"6,9",4716
4716,47,16,NOVEMBER,11,"13,14",4716
4717,47,17,MAY,5,"15,16",4717
4717,47,17,JULY,7,"15,16",4717
4717,47,17,SEPTEMBER,9,"10,11",4717
4717,47,17,NOVEMBER,11,"6,7",4717
4718,47,18,MAY,5,"17,20",4718
4718,47,18,JULY,7,"17,18",4718
4718,47,18,SEPTEMBER,9,"12,13",4718
4718,47,18,NOVEMBER,11,"8,12",4718
4719,47,19,MAY,5,"21,22",4719
4719,47,19,JULY,7,"19,22",4719
4719,47,19,SEPTEMBER,9,"16,17",4719
4719,47,19,NOVEMBER,11,"13,14",4719
4720,47,20,MAY,5,"23,24",4720
4720,47,20,JULY,7,"23,24",4720
4720,47,20,SEPTEMBER,9,"18,19",4720
4720,47,20,NOVEMBER,11,"15,18",4720
4801,48,01,APRIL,4,"25,26",4801
4801,48,01,MAY,5,"23,24",4801
4801,48,01,JUNE,6,"24,25",4801
4801,48,01,JULY,7,"23,24",4801
4801,48,01,AUGUST,8,"20,21",4801
4801,48,01,SEPTEMBER,9,"18,19",4801
4801,48,01,OCTOBER,10,"17,18",4801
4801,48,01,NOVEMBER,11,"15,18",4801
4802,48,02,APRIL,4,"1,2,29,30",4802
4802,48,02,MAY,5,"28,29",4802
4802,48,02,JUNE,6,"26,27",4802
4802,48,02,JULY,7,"25,26",4802
4802,48,02,AUGUST,8,"22,23",4802
4802,48,02,SEPTEMBER,9,"20,23",4802
4802,48,02,OCTOBER,10,"21,22",4802
4802,48,02,NOVEMBER,11,"19,20",4802
4803,48,03,APRIL,4,"3,4",4803
4803,48,03,MAY,5,"1,2,30,31",4803
4803,48,03,JUNE,6,28,4803
4803,48,03,JULY,7,"1,29,30",4803
4803,48,03,AUGUST,8,"26,27",4803
4803,48,03,SEPTEMBER,9,"24,25",4803
4803,48,03,OCTOBER,10,"23,24",4803
4803,48,03,NOVEMBER,11,"21,22",4803
4804,48,04,APRIL,4,"5,8",4804
4804,48,04,MAY,5,"3,6",4804
4804,48,04,JUNE,6,"3,4",4804
4804,48,04,JULY,7,"2,3,31",4804
4804,48,04,AUGUST,8,1,4804
4804,48,04,SEPTEMBER,9,"26,27",4804
4804,48,04,OCTOBER,10,"25,28",4804
4805,48,05,APRIL,4,"9,10",4805
4805,48,05,MAY,5,"7,8",4805
4805,48,05,JUNE,6,"5,6",4805
4805,48,05,JULY,7,"5,8",4805
4805,48,05,AUGUST,8,"2,5,30",4805
4805,48,05,SEPTEMBER,9,"3,30",4805
4805,48,05,OCTOBER,10,"1,29,30",4805
4806,48,06,APRIL,4,"11,12",4806
4806,48,06,MAY,5,"9,10",4806
4806,48,06,JUNE,6,"7,10",4806
4806,48,06,JULY,7,"9,10",4806
4806,48,06,AUGUST,8,"6,7",4806
4806,48,06,SEPTEMBER,9,"4,5",4806
4806,48,06,OCTOBER,10,"2,3,31",4806
4806,48,06,NOVEMBER,11,1,4806
4807,48,07,APRIL,4,"15,16",4807
4807,48,07,MAY,5,"13,14",4807
4807,48,07,JUNE,6,"11,12",4807
4807,48,07,JULY,7,"11,12",4807
4807,48,07,AUGUST,8,"8,9",4807
4807,48,07,SEPTEMBER,9,"6,9",4807
4807,48,07,OCTOBER,10,"4,7",4807
4807,48,07,NOVEMBER,11,"4,5",4807
4808,48,08,APRIL,4,"17,18",4808
4808,48,08,MAY,5,"15,16",4808
4808,48,08,JUNE,6,"13,14",4808
4808,48,08,JULY,7,"15,16",4808
4808,48,08,AUGUST,8,"12,13",4808
4808,48,08,SEPTEMBER,9,"10,11",4808
4808,48,08,OCTOBER,10,"8,9",4808
4808,48,08,NOVEMBER,11,"6,7",4808
4809,48,09,APRIL,4,"19,22",4809
4809,48,09,MAY,5,"17,20",4809
4809,48,09,JUNE,6,"17,18",4809
4809,48,09,JULY,7,"17,18",4809
4809,48,09,AUGUST,8,"14,15",4809
4809,48,09,SEPTEMBER,9,"12,13",4809
4809,48,09,OCTOBER,10,"10,11",4809
4809,48,09,NOVEMBER,11,"8,12",4809
4810,48,10,APRIL,4,"23,24",4810
4810,48,10,MAY,5,"21,22",4810
4810,48,10,JUNE,6,"20,21",4810
4810,48,10,JULY,7,"19,22",4810
4810,48,10,AUGUST,8,"16,19",4810
4810,48,10,SEPTEMBER,9,"16,17",4810
4810,48,10,OCTOBER,10,"15,16",4810
4810,48,10,NOVEMBER,11,"13,14",4810
4811,48,11,APRIL,4,"3,4,29,30",4811
4811,48,11,MAY,5,"23,24",4811
4811,48,11,JUNE,6,"20,21",4811
4811,48,11,JULY,7,"17,18",4811
4811,48,11,AUGUST,8,"12,13",4811
4811,48,11,SEPTEMBER,9,"6,9",4811
4811,48,11,OCTOBER,10,"2,3",4811
4811,48,11,NOVEMBER,11,"29,30",4811
4901,49,01,APRIL,4,"9,10",4901
4901,49,01,MAY,5,"15,16",4901
4901,49,01,JUNE,6,"24,25,",4901
4901,49,01,JULY,7,31,4901
4901,49,01,AUGUST,8,1,4901
4901,49,01,SEPTEMBER,9,"6,9",4901
4901,49,01,OCTOBER,10,"15,16",4901
4901,49,01,NOVEMBER,11,"21,22",4901
4902,49,02,APRIL,4,"11,12",4902
4902,49,02,MAY,5,"17,20",4902
4902,49,02,JUNE,6,"26,27",4902
4902,49,02,AUGUST,8,"2,5",4902
4902,49,02,SEPTEMBER,9,"10,11",4902
4902,49,02,OCTOBER,10,"17,18",4902
4903,49,03,APRIL,4,"1,2",4903
4903,49,03,MAY,5,"7,8",4903
4903,49,03,JUNE,6,"13,14",4903
4903,49,03,JULY,7,"23,24",4903
4903,49,03,AUGUST,8,"28,29",4903
4903,49,03,OCTOBER,10,"4,7",4903
4903,49,03,NOVEMBER,11,"13,14",4903
4904,49,04,APRIL,4,"3,4",4904
4904,49,04,MAY,5,"9,10",4904
4904,49,04,JUNE,6,"17,18",4904
4904,49,04,JULY,7,"25,26",4904
4904,49,04,AUGUST,8,30,4904
4904,49,04,SEPTEMBER,9,3,4904
4904,49,04,OCTOBER,10,"8,9",4904
4904,49,04,NOVEMBER,11,"15,18",4904
4905,49,05,APRIL,4,"5,8",4905
4905,49,05,MAY,5,"13,14",4905
4905,49,05,JUNE,6,"20,21",4905
4905,49,05,JULY,7,"29,30",4905
4905,49,05,SEPTEMBER,9,"4,5",4905
4905,49,05,OCTOBER,10,"10,11",4905
4905,49,05,NOVEMBER,11,"19,20",4905
4906,49,06,APRIL,4,"9,10",4906
4906,49,06,MAY,5,"15,16",4906
4906,49,06,JUNE,6,"24,25,",4906
4906,49,06,JULY,7,31,4906
4906,49,06,AUGUST,8,1,4906
4906,49,06,SEPTEMBER,9,"6,9",4906
4906,49,06,OCTOBER,10,"15,16",4906
4906,49,06,NOVEMBER,11,"21,22",4906
4907,49,07,APRIL,4,"11,12",4907
4907,49,07,MAY,5,"17,20",4907
4907,49,07,JUNE,6,"26,27",4907
4907,49,07,AUGUST,8,"2,5",4907
4907,49,07,SEPTEMBER,9,"10,11",4907
4907,49,07,OCTOBER,10,"17,18",4907
4908,49,08,APRIL,4,"15,16",4908
4908,49,08,MAY,5,"21,22",4908
4908,49,08,JUNE,6,28,4908
4908,49,08,JULY,7,1,4908
4908,49,08,AUGUST,8,"6,7",4908
4908,49,08,SEPTEMBER,9,"12,13",4908
4908,49,08,OCTOBER,10,"21,22",4908
4909,49,09,APRIL,4,"17,18",4909
4909,49,09,MAY,5,"23,24",4909
4909,49,09,JULY,7,"2,3",4909
4909,49,09,AUGUST,8,"8,9",4909
4909,49,09,SEPTEMBER,9,"16,17",4909
4909,49,09,OCTOBER,10,"23,24",4909
4910,49,10,APRIL,4,"19,22",4910
4910,49,10,MAY,5,"28,29",4910
4910,49,10,JULY,7,"5,8",4910
4910,49,10,AUGUST,8,"12,13",4910
4910,49,10,SEPTEMBER,9,"18,19",4910
4910,49,10,OCTOBER,10,"25,28",4910
4911,49,11,APRIL,4,"23,24",4911
4911,49,11,MAY,5,"30,31",4911
4911,49,11,JULY,7,"9,10",4911
4911,49,11,AUGUST,8,"14,15",4911
4911,49,11,SEPTEMBER,9,"20,23",4911
4911,49,11,OCTOBER,10,"29,30",4911
4912,49,12,APRIL,4,"25,26",4912
4912,49,12,JUNE,6,"3,4",4912
4912,49,12,JULY,7,"10,11",4912
4912,49,12,AUGUST,8,"16,19",4912
4912,49,12,SEPTEMBER,9,"24,25",4912
4912,49,12,OCTOBER,10,31,4912
4912,49,12,NOVEMBER,11,1,4912
4913,49,13,APRIL,4,"29,30",4913
4913,49,13,JUNE,6,"5,6",4913
4913,49,13,JULY,7,"15,16",4913
4913,49,13,AUGUST,8,"20,21",4913
4913,49,13,SEPTEMBER,9,"26,27",4913
4913,49,13,NOVEMBER,11,"4,5",4913
5001,50,01,APRIL,4,"1,2",5001
5001,50,01,MAY,5,"9,10",5001
5001,50,01,JUNE,6,"20,21",5001
5001,50,01,JULY,7,31,5001
5001,50,01,AUGUST,8,1,5001
5001,50,01,SEPTEMBER,9,"10,11",5001
5001,50,01,OCTOBER,10,"21,22",5001
5002,50,02,APRIL,4,"3,4",5002
5002,50,02,MAY,5,"13,14",5002
5002,50,02,JUNE,6,"24,25",5002
5002,50,02,AUGUST,8,"2,5",5002
5002,50,02,SEPTEMBER,9,"12,13",5002
5002,50,02,OCTOBER,10,"29,30",5002
5003,50,03,APRIL,4,"5,8",5003
5003,50,03,MAY,5,"15,16",5003
5003,50,03,JUNE,6,"26,27",5003
5003,50,03,AUGUST,8,"6,7",5003
5003,50,03,SEPTEMBER,9,"16,17",5003
5003,50,03,OCTOBER,10,31,5003
5003,50,03,NOVEMBER,11,1,5003
5004,50,04,APRIL,4,"9,10",5004
5004,50,04,MAY,5,"17,20",5004
5004,50,04,JUNE,6,28,5004
5004,50,04,JULY,7,1,5004
5004,50,04,AUGUST,8,"8,9",5004
5004,50,04,SEPTEMBER,9,"18,19",5004
5004,50,04,OCTOBER,10,"23,24",5004
5005,50,05,APRIL,4,"11,12",5005
5005,50,05,MAY,5,"21,22",5005
5005,50,05,JULY,7,"2,3",5005
5005,50,05,AUGUST,8,"12,13",5005
5005,50,05,SEPTEMBER,9,"20,23",5005
5005,50,05,NOVEMBER,11,"4,5",5005
5006,50,06,APRIL,4,"15,16",5006
5006,50,06,MAY,5,"23,24",5006
5006,50,06,JULY,7,"5,8",5006
5006,50,06,AUGUST,8,"14,15",5006
5006,50,06,SEPTEMBER,9,"24,25",5006
5006,50,06,NOVEMBER,11,"6,7",5006
5007,50,07,APRIL,4,"17,18",5007
5007,50,07,MAY,5,"28,29",5007
5007,50,07,JULY,7,"9,10",5007
5007,50,07,AUGUST,8,"16,19",5007
5007,50,07,SEPTEMBER,9,"26,27",5007
5007,50,07,NOVEMBER,11,"8,12",5007
5008,50,08,APRIL,4,"19,22",5008
5008,50,08,MAY,5,"30,31",5008
5008,50,08,JULY,7,"11,12",5008
5008,50,08,AUGUST,8,"20,21",5008
5008,50,08,SEPTEMBER,9,30,5008
5008,50,08,OCTOBER,10,1,5008
5008,50,08,NOVEMBER,11,"13,14",5008
5009,50,09,APRIL,4,"23,24",5009
5009,50,09,JUNE,6,"3,4",5009
5009,50,09,JULY,7,"15,16",5009
5009,50,09,AUGUST,8,"22,23",5009
5009,50,09,OCTOBER,10,"2,3,25,28",5009
5010,50,10,APRIL,4,"29,30",5010
5010,50,10,JUNE,6,"13,14",5010
5010,50,10,JULY,7,"17,18",5010
5010,50,10,AUGUST,8,"26,27",5010
5010,50,10,OCTOBER,10,"4,7",5010
5010,50,10,NOVEMBER,11,"15,18",5010
5011,50,11,APRIL,4,"25,26",5011
5011,50,11,JUNE,6,"5,6",5011
5011,50,11,JULY,7,"19,22",5011
5011,50,11,AUGUST,8,"28,29",5011
5011,50,11,OCTOBER,10,"8,9",5011
5011,50,11,NOVEMBER,11,"19,20",5011
5012,50,12,MAY,5,"1,2",5012
5012,50,12,JUNE,6,"7,10",5012
5012,50,12,JULY,7,"23,24",5012
5012,50,12,AUGUST,8,30,5012
5012,50,12,SEPTEMBER,9,3,5012
5012,50,12,OCTOBER,10,"10,11",5012
5012,50,12,NOVEMBER,11,"21,22",5012
5013,50,13,MAY,5,"3,6",5013
5013,50,13,JUNE,6,"11,12",5013
5013,50,13,JULY,7,"25,26",5013
5013,50,13,SEPTEMBER,9,"4,5",5013
5013,50,13,OCTOBER,10,"17,18",5013
5014,50,14,MAY,5,"7,8",5014
5014,50,14,JUNE,6,"17,18",5014
5014,50,14,JULY,7,"29,30",5014
5014,50,14,SEPTEMBER,9,"6,9",5014
5014,50,14,OCTOBER,10,"15,16",5014
